Tid;Grunnvannsnivå - dyp under bakken(m)
2016-02-16 12:00;    -0,560
2016-02-17 12:00;    -0,563
2016-02-18 12:00;    -0,566
2016-02-19 12:00;    -0,568
2016-02-20 12:00;    -0,568
2016-02-21 12:00;    -0,570
2016-02-22 12:00;    -0,571
2016-02-23 12:00;    -0,572
2016-02-24 12:00;    -0,573
2016-02-25 12:00;    -0,575
2016-02-26 12:00;    -0,576
2016-02-27 12:00;    -0,577
2016-02-28 12:00;    -0,578
2016-02-29 12:00;    -0,580
2016-03-01 12:00;    -0,580
2016-03-02 12:00;    -0,579
2016-03-03 12:00;    -0,581
2016-03-04 12:00;    -0,582
2016-03-05 12:00;    -0,583
2016-03-06 12:00;    -0,584
2016-03-07 12:00;    -0,585
2016-03-08 12:00;    -0,586
2016-03-09 12:00;    -0,587
2016-03-10 12:00;    -0,589
2016-03-11 12:00;    -0,590
2016-03-12 12:00;    -0,591
2016-03-13 12:00;    -0,591
2016-03-14 12:00;    -0,562
2016-03-15 12:00;    -0,555
2016-03-16 12:00;    -0,553
2016-03-17 12:00;    -0,536
2016-03-18 12:00;    -0,492
2016-03-19 12:00;    -0,496
2016-03-20 12:00;    -0,493
2016-03-21 12:00;    -0,496
2016-03-22 12:00;    -0,509
2016-03-23 12:00;    -0,516
2016-03-24 12:00;    -0,527
2016-03-25 12:00;    -0,538
2016-03-26 12:00;    -0,543
2016-03-27 12:00;    -0,429
2016-03-28 12:00;    -0,336
2016-03-29 12:00;    -0,300
2016-03-30 12:00;    -0,371
2016-03-31 12:00;    -0,409
2016-04-01 12:00;    -0,454
2016-04-02 12:00;    -0,484
2016-04-03 12:00;    -0,503
2016-04-04 12:00;    -0,496
2016-04-05 12:00;    -0,418
2016-04-06 12:00;    -0,384
2016-04-07 12:00;    -0,381
2016-04-08 12:00;    -0,390
2016-04-09 12:00;    -0,423
2016-04-10 12:00;    -0,451
2016-04-11 12:00;    -0,464
2016-04-12 12:00;    -0,465
2016-04-13 12:00;    -0,462
2016-04-14 12:00;    -0,463
2016-04-15 12:00;    -0,454
2016-04-16 12:00;    -0,458
2016-04-17 12:00;    -0,466
2016-04-18 12:00;    -0,453
2016-04-19 12:00;    -0,411
2016-04-20 12:00;    -0,392
2016-04-21 12:00;    -0,382
2016-04-22 12:00;    -0,387
2016-04-23 12:00;    -0,412
2016-04-24 12:00;    -0,443
2016-04-25 12:00;    -0,465
2016-04-26 12:00;    -0,485
2016-04-27 12:00;    -0,499
2016-04-28 12:00;    -0,502
2016-04-29 12:00;    -0,504
2016-04-30 12:00;    -0,466
2016-05-01 12:00;    -0,399
2016-05-02 12:00;    -0,388
2016-05-03 12:00;    -0,358
2016-05-04 12:00;    -0,359
2016-05-05 12:00;    -0,366
2016-05-06 12:00;    -0,363
2016-05-07 12:00;    -0,363
2016-05-08 12:00;    -0,342
2016-05-09 12:00;    -0,334
2016-05-10 12:00;    -0,338
2016-05-11 12:00;    -0,332
2016-05-12 12:00;    -0,341
2016-05-13 12:00;    -0,351
2016-05-14 12:00;    -0,358
2016-05-15 12:00;    -0,359
2016-05-16 12:00;    -0,360
2016-05-17 12:00;    -0,352
2016-05-18 12:00;    -0,352
2016-05-19 12:00;    -0,350
2016-05-20 12:00;    -0,338
2016-05-21 12:00;    -0,342
2016-05-22 12:00;    -0,327
2016-05-23 12:00;    -0,342
2016-05-24 12:00;    -0,357
2016-05-25 12:00;    -0,375
2016-05-26 12:00;    -0,391
2016-05-27 12:00;    -0,401
2016-05-28 12:00;    -0,383
2016-05-29 12:00;    -0,377
2016-05-30 12:00;    -0,364
2016-05-31 12:00;    -0,325
2016-06-01 12:00;    -0,330
2016-06-02 12:00;    -0,334
2016-06-03 12:00;    -0,341
2016-06-04 12:00;    -0,354
2016-06-05 12:00;    -0,373
2016-06-06 12:00;    -0,381
2016-06-07 12:00;    -0,376
2016-06-08 12:00;    -0,380
2016-06-09 12:00;    -0,411
2016-06-10 12:00;    -0,433
2016-06-11 12:00;    -0,448
2016-06-12 12:00;    -0,452
2016-06-13 12:00;    -0,448
2016-06-14 12:00;    -0,443
2016-06-15 12:00;    -0,431
2016-06-16 12:00;    -0,419
2016-06-17 12:00;    -0,412
2016-06-18 12:00;    -0,413
2016-06-19 12:00;    -0,424
2016-06-20 12:00;    -0,423
2016-06-21 12:00;    -0,372
2016-06-22 12:00;    -0,397
2016-06-23 12:00;    -0,405
2016-06-24 12:00;    -0,390
2016-06-25 12:00;    -0,353
2016-06-26 12:00;    -0,345
2016-06-27 12:00;    -0,336
2016-06-28 12:00;    -0,352
2016-06-29 12:00;    -0,381
2016-06-30 12:00;    -0,354
2016-07-01 12:00;    -0,358
2016-07-02 12:00;    -0,338
2016-07-03 12:00;    -0,352
2016-07-04 12:00;    -0,384
2016-07-05 12:00;    -0,407
2016-07-06 12:00;    -0,427
2016-07-07 12:00;    -0,447
2016-07-08 12:00;    -0,451
2016-07-09 12:00;    -0,444
2016-07-10 12:00;    -0,440
2016-07-11 12:00;    -0,393
2016-07-12 12:00;    -0,406
2016-07-13 12:00;    -0,422
2016-07-14 12:00;    -0,431
2016-07-15 12:00;    -0,445
2016-07-16 12:00;    -0,418
2016-07-17 12:00;    -0,378
2016-07-18 12:00;    -0,384
2016-07-19 12:00;    -0,407
2016-07-20 12:00;    -0,399
2016-07-21 12:00;    -0,413
2016-07-22 12:00;    -0,412
2016-07-23 12:00;    -0,406
2016-07-24 12:00;    -0,430
2016-07-25 12:00;    -0,431
2016-07-26 12:00;    -0,384
2016-07-27 12:00;    -0,377
2016-07-28 12:00;    -0,328
2016-07-29 12:00;    -0,343
2016-07-30 12:00;    -0,349
2016-07-31 12:00;    -0,380
2016-08-01 12:00;    -0,408
2016-08-02 12:00;    -0,416
2016-08-03 12:00;    -0,419
2016-08-04 12:00;    -0,441
2016-08-05 12:00;    -0,440
2016-08-06 12:00;    -0,400
2016-08-07 12:00;    -0,418
2016-08-08 12:00;    -0,360
2016-08-09 12:00;    -0,337
2016-08-10 12:00;    -0,370
2016-08-11 12:00;    -0,405
2016-08-12 12:00;    -0,402
2016-08-13 12:00;    -0,348
2016-08-14 12:00;    -0,355
2016-08-15 12:00;    -0,385
2016-08-16 12:00;    -0,422
2016-08-17 12:00;    -0,452
2016-08-18 12:00;    -0,469
2016-08-19 12:00;    -0,394
2016-08-20 12:00;    -0,423
2016-08-21 12:00;    -0,451
2016-08-22 12:00;    -0,466
2016-08-23 12:00;    -0,480
2016-08-24 12:00;    -0,468
2016-08-25 12:00;    -0,442
2016-08-26 12:00;    -0,365
2016-08-27 12:00;    -0,330
2016-08-28 12:00;    -0,370
2016-08-29 12:00;    -0,359
2016-08-30 12:00;    -0,354
2016-08-31 12:00;    -0,344
2016-09-01 12:00;    -0,329
2016-09-02 12:00;    -0,326
2016-09-03 12:00;    -0,338
2016-09-04 12:00;    -0,364
2016-09-05 12:00;    -0,405
2016-09-06 12:00;    -0,433
2016-09-07 12:00;    -0,436
2016-09-08 12:00;    -0,460
2016-09-09 12:00;    -0,448
2016-09-10 12:00;    -0,401
2016-09-11 12:00;    -0,365
2016-09-12 12:00;    -0,404
2016-09-13 12:00;    -0,448
2016-09-14 12:00;    -0,464
2016-09-15 12:00;    -0,455
2016-09-16 12:00;    -0,471
2016-09-17 12:00;    -0,476
2016-09-18 12:00;    -0,483
2016-09-19 12:00;    -0,492
2016-09-20 12:00;    -0,503
2016-09-21 12:00;    -0,510
2016-09-22 12:00;    -0,496
2016-09-23 12:00;    -0,463
2016-09-24 12:00;    -0,467
2016-09-25 12:00;    -0,485
2016-09-26 12:00;    -0,483
2016-09-27 12:00;    -0,442
2016-09-28 12:00;    -0,298
2016-09-29 12:00;    -0,290
2016-09-30 12:00;    -0,294
2016-10-01 12:00;    -0,338
2016-10-02 12:00;    -0,381
2016-10-03 12:00;    -0,422
2016-10-04 12:00;    -0,459
2016-10-05 12:00;    -0,481
2016-10-06 12:00;    -0,498
2016-10-07 12:00;    -0,510
2016-10-08 12:00;    -0,519
2016-10-09 12:00;    -0,527
2016-10-10 12:00;    -0,535
2016-10-11 12:00;    -0,542
2016-10-12 12:00;    -0,549
2016-10-13 12:00;    -0,555
2016-10-14 12:00;    -0,560
2016-10-15 12:00;    -0,564
2016-10-16 12:00;    -0,568
2016-10-17 12:00;    -0,570
2016-10-18 12:00;    -0,570
2016-10-19 12:00;    -0,572
2016-10-20 12:00;    -0,575
2016-10-21 12:00;    -0,577
2016-10-22 12:00;    -0,581
2016-10-23 12:00;    -0,586
2016-10-24 12:00;    -0,591
2016-10-25 12:00;    -0,594
2016-10-26 12:00;    -0,581
2016-10-27 12:00;    -0,451
2016-10-28 12:00;    -0,329
2016-10-29 12:00;    -0,363
2016-10-30 12:00;    -0,414
2016-10-31 12:00;    -0,432
2016-11-01 12:00;    -0,386
2016-11-02 12:00;    -0,438
2016-11-03 12:00;    -0,482
2016-11-04 12:00;    -0,509
2016-11-05 12:00;    -0,525
2016-11-06 12:00;    -0,536
2016-11-07 12:00;    -0,536
2016-11-08 12:00;    -0,528
2016-11-09 12:00;    -0,525
2016-11-10 12:00;    -0,544
2016-11-11 12:00;    -0,558
2016-11-12 12:00;    -0,567
2016-11-13 12:00;    -0,572
2016-11-14 12:00;    -0,522
2016-11-15 12:00;    -0,380
2016-11-16 12:00;    -0,362
2016-11-17 12:00;    -0,398
2016-11-18 12:00;    -0,455
2016-11-19 12:00;    -0,492
2016-11-20 12:00;    -0,514
2016-12-10 12:00;    -0,347
2016-12-11 12:00;    -0,368
2016-12-12 12:00;    -0,412
2016-12-13 12:00;    -0,459
2016-12-14 12:00;    -0,490
2016-12-15 12:00;    -0,499
2016-12-16 12:00;    -0,505
2016-12-17 12:00;    -0,481
2016-12-18 12:00;    -0,477
2016-12-19 12:00;    -0,478
2016-12-20 12:00;    -0,411
2016-12-21 12:00;    -0,386
2016-12-22 12:00;    -0,403
2016-12-23 12:00;    -0,442
2016-12-24 12:00;    -0,469
2016-12-25 12:00;    -0,356
2016-12-26 12:00;    -0,331
2016-12-27 12:00;    -0,330
2016-12-28 12:00;    -0,409
2016-12-29 12:00;    -0,407
2016-12-30 12:00;    -0,248
2016-12-31 12:00;    -0,310
2017-01-01 12:00;    -0,366
2017-01-02 12:00;    -0,408
2017-01-03 12:00;    -0,449
2017-01-04 12:00;    -0,458
2017-01-05 12:00;    -0,479
2017-01-06 12:00;    -0,474
2017-01-07 12:00;    -0,481
2017-01-08 12:00;    -0,508
2017-01-09 12:00;    -0,507
2017-01-10 12:00;    -0,435
2017-01-11 12:00;    -0,463
2017-01-12 12:00;    -0,487
2017-01-13 12:00;    -0,506
2017-01-14 12:00;    -0,521
2017-01-15 12:00;    -0,528
2017-01-16 12:00;    -0,516
2017-01-17 12:00;    -0,505
2017-01-18 12:00;    -0,482
2017-01-19 12:00;    -0,318
2017-01-20 12:00;    -0,295
2017-01-21 12:00;    -0,349
2017-01-22 12:00;    -0,383
2017-01-23 12:00;    -0,420
2017-01-24 12:00;    -0,457
2017-01-25 12:00;    -0,466
2017-01-26 12:00;    -0,384
2017-01-27 12:00;    -0,427
2017-01-28 12:00;    -0,473
2017-01-29 12:00;    -0,495
2017-01-30 12:00;    -0,509
2017-01-31 12:00;    -0,514
2017-02-01 12:00;    -0,510
2017-02-02 12:00;    -0,510
2017-02-03 12:00;    -0,531
2017-02-04 12:00;    -0,551
2017-02-05 12:00;    -0,562
2017-02-06 12:00;    -0,570
2017-02-07 12:00;    -0,562
2017-02-08 12:00;    -0,544
2017-02-09 12:00;    -0,537
2017-02-10 12:00;    -0,533
2017-02-11 12:00;    -0,552
2017-02-12 12:00;    -0,570
2017-02-13 12:00;    -0,580
2017-02-14 12:00;    -0,588
2017-02-15 12:00;    -0,592
